Q2,xBj,sigma,d stat,d uncor,d cor,d rel,d p,d had,d 1,d 2,d 3,d 4,d tot
5000,0.547x10-1,0.477,5.04,2.01,1.15,0.77,-0.94,-0.2,0,-0.04,0.08,0.18,5.69
5000,0.800x10-1,0.415,2.37,0.82,0.85,0.28,-0.12,-0.06,0,-0.05,0.04,0.22,2.67
5000,0.13,0.343,2.95,0.88,0.77,0.08,-0.05,-0.1,0,-0.06,0.04,0.36,3.19
5000,0.18,0.283,2.98,0.85,0.76,-0.01,-0.05,-0.17,0,-0.05,0.01,0.36,3.21
5000,0.25,0.225,3.47,1.01,0.78,0.21,-0.05,-0.14,0,-0.06,-0.05,0.35,3.72
5000,0.4,0.121,4.38,1.43,0.82,0.31,-0.07,-0.07,0.01,-0.06,-0.22,0.35,4.71
5000,0.65,0.011,12.94,5.8,1.87,1.55,-0.08,-0.3,0.01,-0.07,-1.1,0.35,14.44
8000,0.875x10-1,0.356,8.65,2.69,1.69,1.25,-1.65,-0.25,0.01,-0.04,0.03,0.1,9.45
8000,0.13,0.309,3.84,1.02,1,0.23,-0.13,-0.11,0,-0.05,-0.07,0.28,4.12
8000,0.18,0.267,4.28,1.07,0.81,0.1,-0.04,-0.08,0,-0.06,0.06,0.43,4.51
8000,0.25,0.217,5.03,1.38,0.84,0.14,-0.03,-0.05,0,-0.06,0.06,0.41,5.3
8000,0.4,0.103,6.13,2.04,0.93,0.34,-0.06,-0.07,-0.01,-0.06,-0.09,0.36,6.54
8000,0.65,0.016,10.35,4.99,1.37,2.01,-0.1,-0.09,0.02,-0.06,-0.83,0.35,11.78
12000,0.13,0.212,19.86,5.03,1.33,0.86,-1.16,-0.17,0,-0.04,0.12,0.11,20.59
12000,0.18,0.229,6.07,1.21,1.05,0.22,-0.23,-0.15,0,-0.05,-0.03,0.32,6.3
12000,0.25,0.155,7.64,1.44,1.01,0,-0.05,-0.05,0.01,-0.06,0.08,0.42,7.85
12000,0.4,0.095,8.52,3.04,0.87,0.16,-0.07,-0.06,0,-0.06,-0.02,0.34,9.1
12000,0.65,0.017,17.58,6.81,1.49,0.95,-0.08,-0.28,0.01,-0.06,-0.85,0.44,18.96
20000,0.25,0.126,11.42,3.08,1.33,0.64,-0.16,-0.06,0.01,-0.05,-0.1,0.19,11.92
20000,0.4,0.078,15.35,5.55,1.22,-0.22,0.03,-0.02,0,-0.06,0.1,0.49,16.38
20000,0.65,0.012,32.5,13.66,2.15,1.84,-0.03,0.09,0.01,-0.08,-0.17,0.59,35.37
30000,0.4,0.06,24.46,2.34,4.42,0.34,-0.16,-0.18,0.01,-0.06,0.16,0.43,24.97
30000,0.65,0.009,69.03,9.87,1.71,0.02,0.04,-0.16,0.01,-0.08,-0.17,0.47,69.75
